id,signal_id,ticker,direction,quantity,price,total_value,currency,paper,status,opened_at,closed_at,pnl,notes
72,72,CI,BUY,1.0489,286.024993896484,300.011616098022,GBP,1,CLOSED,"2026-05-18 13:45:50","2026-06-01 19:30:09",-11.9522039764404,
73,73,EQIX,BUY,0.2827,1061.15002441406,299.987111901855,GBP,1,OPEN,"2026-05-18 13:45:50",,,
74,74,ANET,BUY,2.6555,139.869995117188,371.424772033691,GBP,1,CLOSED,"2026-05-18 13:45:54","2026-06-01 13:45:08",77.7397868118286,
75,75,EOG,BUY,2.145,139.860000610352,299.999701309204,GBP,1,CLOSED,"2026-05-18 13:45:55","2026-05-27 13:45:08",-12.4195355987549,
77,77,REGN,BUY,0.7554,644.874816894531,487.138436682129,GBP,1,CLOSED,"2026-05-20 13:49:11","2026-06-01 13:45:08",-25.1206923706055,
79,79,WMT,BUY,4.2256,120.245002746582,508.107283605957,GBP,1,CLOSED,"2026-05-22 17:06:28","2026-06-01 19:30:10",-25.4381300537109,
89,89,IBM,BUY,2.0334,250.815002441406,510.007225964355,GBP,1,CLOSED,"2026-05-26 13:54:24","2026-05-29 19:30:13",99.3010716247558,
90,90,INTU,BUY,1.6412,310.75,510.0029,GBP,1,CLOSED,"2026-05-26 13:54:24","2026-06-02 13:45:07",22.5993059692383,
91,91,DE,BUY,0.9669,527.482971191406,510.023284844971,GBP,1,CLOSED,"2026-05-26 13:54:24","2026-06-11 13:45:05",34.4622776550293,
92,92,UBER,BUY,7.234,70.5,509.997,GBP,1,CLOSED,"2026-05-26 13:54:25","2026-06-08 13:45:05",-1.33827233886723,
93,93,NKTR,BUY,0.6524,66.7799987792969,43.5672712036133,GBP,1,CLOSED,"2026-05-26 13:54:25","2026-06-02 13:45:08",-4.57006020812988,
97,97,BSX,BUY,5.3424,51.5449981689453,275.373998217773,GBP,1,CLOSED,"2026-05-27 13:53:49","2026-05-29 13:45:08",-14.0243298706055,
98,98,AZO,BUY,0.0045,3061.57006835938,13.7770653076172,GBP,1,CLOSED,"2026-05-27 13:53:49","2026-06-22 13:45:05",-0.274140747070312,
101,101,SCHW,BUY,4.0363,85.6100006103516,345.547645463562,GBP,1,CLOSED,"2026-05-27 20:52:15","2026-06-26 13:45:03",14.12705,
102,102,COST,BUY,0.5378,959.369995117188,515.949183374023,GBP,1,OPEN,"2026-05-29 13:53:14",,,
103,103,BSX,BUY,2.4067,48.9300003051758,117.759831734467,GBP,1,CLOSED,"2026-05-29 13:53:14","2026-06-12 13:45:06",-5.18643556213379,
104,104,IBM,BUY,1.7358,299.114990234375,519.203800048828,GBP,1,CLOSED,"2026-05-29 19:37:13","2026-06-03 13:45:07",14.2422686645508,
105,105,CME,BUY,0.3348,273.200012207031,91.4673640869141,GBP,1,CLOSED,"2026-05-29 19:37:13","2026-06-02 13:45:08",-7.36560510864258,
106,106,SNPS,BUY,1.0913,476.329986572266,519.818914346313,GBP,1,CLOSED,"2026-06-01 13:53:37","2026-06-05 13:45:06",2.58640897521968,
107,107,ACGL,BUY,4.2343,88.879997253418,376.344572370148,GBP,1,OPEN,"2026-06-01 13:53:37",,,
110,110,MSFT,BUY,1.1269,463.649993896484,522.487178121948,GBP,1,CLOSED,"2026-06-01 19:38:01","2026-06-03 13:45:07",-35.4860699951171,
111,111,WMT,BUY,4.572,114.275001525879,522.465306976318,GBP,1,OPEN,"2026-06-01 19:38:02",,,
112,112,REGN,BUY,0.1544,601.869995117188,92.9287272460938,GBP,1,CLOSED,"2026-06-01 19:38:02","2026-06-10 19:30:11",0.185281884765629,
113,113,CME,BUY,2.0783,249.570007324219,518.681346221924,GBP,1,CLOSED,"2026-06-02 13:53:19","2026-06-17 13:45:04",-0.831339027404738,
114,114,ICE,BUY,3.1252,141.270004272461,441.497017352295,GBP,1,CLOSED,"2026-06-02 13:53:19","2026-06-17 19:30:08",-21.7514129821777,
115,115,WELL,BUY,1.8983,195.154998779297,370.462734182739,GBP,1,CLOSED,"2026-06-02 19:38:02","2026-06-26 19:30:11",61.8561182449341,
117,117,NFLX,BUY,6.2702,82.4700012207031,517.103401654053,GBP,1,CLOSED,"2026-06-03 13:53:34","2026-06-16 19:30:08",-24.8299862594604,
118,118,BLK,BUY,0.5002,993.015075683594,496.706140856934,GBP,1,CLOSED,"2026-06-03 13:53:35","2026-06-23 19:30:10",11.2069345947265,
122,122,T,BUY,20.7342,23.5849990844727,489.016088017273,GBP,1,CLOSED,"2026-06-03 19:37:36","2026-06-04 19:30:12",-19.4901195259094,
