id,ticker,signal_type,direction,confidence,price_at_signal,regime,notes,created_at
41,HD,PAPER_MEAN_REVERSION,BUY,80.0,304.545013427734,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.11) | RSI below midline (35.8) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=+0.0 | SectorAdj=+0.0 | Raw=70.0 → Final=80.0","2026-05-13 14:14:21"
42,BAC,PAPER_MEAN_REVERSION,BUY,80.0,50.5149993896484,BULL,"[PAPER SCANNER] At lower BB — strong oversold (-0.01) | RSI below midline (42.5) | Below MA20 by 3.8% | Regime=BULL | VolAdj=+0.0 | SectorAdj=+0.0 | Raw=70.0 → Final=80.0","2026-05-13 14:14:22"
43,KO,PAPER_MOMENTUM,BUY,85.0,80.5599975585938,BULL,"[PAPER SCANNER] RSI (64.3) | MACD above signal | Above MA50 (76.83) | Above MA200 (71.59) | Normal volume (1.4x avg) | Regime=BULL | VolAdj=+5.0 | SectorAdj=+0.0 | Raw=70.0 → Final=85.0","2026-05-13 14:14:22"
44,CRM,PAPER_MEAN_REVERSION,BUY,80.0,169.100006103516,BULL,"[PAPER SCANNER] At lower BB — strong oversold (-0.06) | RSI below midline (38.8) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=80.0 → Final=80.0","2026-05-13 14:14:24"
45,AMD,PAPER_MOMENTUM,BUY,65.0,436.015014648438,BULL,"[PAPER SCANNER] RSI overbought (77.2) | MACD above signal | Above MA50 (264.68) | Above MA200 (220.25) | Low volume (0.8x avg) | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=55.0 → Final=65.0","2026-05-13 14:14:25"
46,TMO,PAPER_MEAN_REVERSION,BUY,70.0,452.489990234375,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.22) | RSI below midline (37.1) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=70.0 → Final=70.0","2026-05-13 14:14:27"
47,ACN,PAPER_MEAN_REVERSION,BUY,90.0,162.998992919922,BULL,"[PAPER SCANNER] At lower BB — strong oversold (-0.02) | RSI oversold (28.6) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=90.0 → Final=90.0","2026-05-13 14:14:27"
48,LIN,PAPER_MOMENTUM,BUY,75.0,512.02001953125,BULL,"[PAPER SCANNER] RSI neutral (58.5) | MACD bullish crossover | Above MA50 (496.44) | Above MA200 (460.97) | Low volume (0.2x avg) | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=75.0 → Final=75.0","2026-05-13 14:14:28"
49,MCD,PAPER_MEAN_REVERSION,BUY,80.0,276.209991455078,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.17) | RSI oversold (27.5) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=-10.0 | SectorAdj=+0.0 | Raw=80.0 → Final=80.0","2026-05-13 14:14:29"
50,IBM,PAPER_MEAN_REVERSION,BUY,90.0,214.020004272461,BULL,"[PAPER SCANNER] Near lower BB — oversold (0.15) | RSI below midline (36.2) | 5%+ below MA20 — strong reversion candidate | Regime=BULL | VolAdj=+0.0 | SectorAdj=+10.0 | Raw=70.0 → Final=90.0","2026-05-13 14:14:32"
